Name,Formula,InChI,smiles,RMM,Latex
PMN,CH2=C(CH3)C(O)OONO2,"InChI=1S/C4H5NO5/c1-3(2)4(6)9-10-5(7)8/h1H2,2H3","C=C(C)C(=O)OON(=O)=O	
",147.016772265,
PO2,HOCH2CH(OO)CH3,,,,
PP,HOCH2CH(OOH)CH3,,,,
PPN,CH3CH2C(O)OONO2,"InChI=1S/C3H5NO5/c1-2-3(5)8-9-4(6)7/h2H2,1H3","CCC(=O)OON(=O)=O	
",135.016772265,
PRN1,O2NOCH2CH(OO)CH3,,,,
PRPE,C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3","C=CC	
",42.046950192,
PRPN,O2NOCH2CH(OOH)CH3,,,,
R4N1,RO2 from R4N2,,,,
R4N2,RO2NO,,,,
R4O2,RO2 from ALK4,,,,
R4P,CH3CH2CH2CH2OOH,,,,
RA3P,CH3CH2CH2OOH,,,,
RB3P,CH3CH(OOH)CH3,,,,
RCHO,CH3CH2CHO,,,,
RCO3,CH3CH2C(O)OO,,,,
RCOOH,C2H5C(O)OH,,,,
RIO1,HOCH2C(OO)(CH3)CH=CHOH,,,,
RIO2,HOCH2C(OO)(CH3)CH=CH2,,,,
RIP,HOCH2C(OOH)(CH3)CH=CH2,,,,
ROH,C3H7OH,,,,
RP,CH3CH2C(O)OOH,,,,
VRO2,HOCH2CH(OO)C(O)CH3,,,,
VRP,HOCH2CH(OOH)C(O)CH3,,,,
DMS,(CH3)2S,InChI=1S/C2H6S/c1-3-2/h1-2H3,"CSC	
",62.019021192,
SO2,SO2,InChI=1S/O2S/c1-3-2,"O=S=O	
",63.96190024,SO$_2$
SO4,SO4,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2","[O-]S(=O)(=O)[O-]	
",95.95172948,SO$_4$
MSA,CH4SO3,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)","CS(=O)(=O)O	
",95.988114988,
